,name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,moods
1,23,23,Blonde Redhead,4HIwL9ii9CcXpTOTzMq0MP,2007-04-16,43,318800,0.381,0.0189,0.8320000000000001,0.196,0.153,0.166,-5.069,0.0492,120.255,8,4,Sad,Energetic
4,A Boy Brushed Red Living In Black And White,They're Only Chasing Safety,Underoath,47IWLfIKOKhFnz1FUEUIkE,2004-01-01,60,268000,0.419,0.00171,0.932,0.0,0.1369999999999999,0.445,-3.604,0.106,169.88099999999997,1,4,Energetic,Energetic
8,A Place for My Head,Hybrid Theory (Bonus Edition),Linkin Park,5rAxhWcgFng3s570sGO2F8,2000-10-24,68,184640,0.603,0.0144,0.908,0.0,0.6709999999999999,0.457,-5.254,0.184,133.063,11,4,Energetic,Energetic
9,ATTACK,A Beautiful Lie + 30 Seconds To Mars,Thirty Seconds To Mars,6QxTWEvzcJljVZaeTzuHF1,2007-05-15,0,189200,0.331,0.00344,0.8759999999999999,0.0008349999999999,0.732,0.299,-1.894,0.0603,175.009,5,4,Energetic,Energetic
10,Adagio For Strings,Adagio For Strings,Lucas & Steve,1RvDsjCBDTES3lPiEGNNMY,2018-11-09,55,197189,0.349,0.000877,0.7929999999999999,0.431,0.22,0.0398,-6.747999999999998,0.0677,127.139,10,4,Energetic,Energetic
13,Afraid of Heights,Afraid of Heights,Billy Talent,0P44AUPRzaIAHNWquN0fGR,2016-07-29,38,225680,0.5429999999999999,0.000168,0.991,1.31e-05,0.374,0.7659999999999999,-2.78,0.0668,150.031,9,4,Energetic,Energetic
16,Afterlife,Avenged Sevenfold,Avenged Sevenfold,4QdwsME04RG25KPHcPYoox,2007-10-30,13,351560,0.4920000000000001,0.000444,0.95,6.22e-05,0.22,0.391,-4.195,0.076,110.027,2,4,Energetic,Energetic
19,Alive,Alive,Paris Blohm,2rPJcL8gQauA2nBdRyNZZL,2018-11-16,51,180468,0.494,0.00248,0.847,0.0,0.0502,0.148,-3.996,0.0537,129.909,0,4,Energetic,Energetic
21,All Mirrors,All Mirrors,Angel Olsen,4ZQdynvfiayhdoq5lcuCQ1,2019-07-31,1,282026,0.429,0.00299,0.6890000000000001,0.00193,0.152,0.23,-7.38,0.0379,105.04,7,4,Sad,Energetic
22,All These Things I Hate (Revolve Around Me),The Poison,Bullet For My Valentine,6hZkQjIQBY7HAj4nzLUvdx,2005-09-01,39,225440,0.488,0.0303,0.879,0.0,0.288,0.483,-3.505,0.0514,94.003,6,3,Energetic,Energetic
23,All in the Suit That You Wear,Thank You,Stone Temple Pilots,17Nk1aji6gd26vabky7fMi,2003-11-10,39,219573,0.429,1.94e-05,0.982,0.0185,0.312,0.583,-2.962,0.0617,122.881,2,4,Energetic,Energetic
26,Always,Back Into Your System,Saliva,7kpa6MWRrPaF3b6C0DgioK,2002-11-12,63,231200,0.363,0.0122,0.906,0.0,0.172,0.371,-4.415,0.0615,181.96400000000003,1,4,Energetic,Energetic
